Line,GN_mean
Line491,111.8916667
Line492,106.0916667
Line493,96.10833333
Line494,111.125
Line495,117.2416667
Line496,122.075
Line497,114.2416667
Line498,157.3916667
Line499,239.5166667
Line500,212.3833333
Line501,201.1916667
Line502,226.325
Line503,217.85
Line504,167.9416667
Line505,186.25
Line506,112.2833333
Line507,145.6666667
Line508,118.4583333
Line509,184.8083334
Line510,153.85
Line511,146.65
Line512,174.8666667
Line513,168.9333333
Line514,128.6
Line515,146.3
Line516,162.6583334
Line517,130.5833334
Line518,172.125
Line519,118.6416667
Line520,205.4583333
Line521,164.725
Line522,190.6833334
Line523,174.5
Line524,131.7166667
Line525,158.2416667
Line526,227.6833333
Line527,200.5833333
Line528,179.5333333
Line529,191.175
Line530,191.3416666
Line531,212.3166667
Line532,182.0333333
Line533,161.8333333
Line534,167.9916667
Line535,127.2833334
Line536,182.8666667
Line537,180.3083333
Line538,153.8916667
Line539,197.675
Line540,144.4416667
Line541,120.5583333
Line542,170.5666667
Line543,176.3333334
Line544,123.3666667
Line545,121.775
Line546,153.1125
Line547,209.7416667
Line548,207.4166667
Line549,203.1208333
Line550,134.5666667
Line551,178.6583333
Line552,164.1666667
Line553,144.35
Line554,216.575
Line555,140.7
Line556,169.325
Line557,153.5666667
Line558,157.8416667
Line559,195.8916667
Line560,137.5416667
Line561,177.75
Line562,190.4833333
Line563,135.8416667
Line564,151.8416667
Line565,205.825
Line566,147.1916667
Line567,179.5
Line568,168.5416667
Line569,178.1166667
Line570,193.4666666
Line571,186.8666667
Line572,173.0333333
Line573,122.4916667
Line574,170.5833333
Line575,196.1666667
Line576,200.425
Line577,152.1833333
Line578,181.4416667
Line579,107.3083333
Line580,232.2916667
Line581,175.6083333
Line582,137.3083334
Line583,186.7083334
Line584,212.5458333
Line585,111.5083333
Line586,196.175
Line587,153.6666667
Line588,191.1416667
Line589,179.3583333
Line590,161.525
Line591,237.3333333
Line592,165.0833334
Line593,172.8444444
Line594,98.83333333
Line595,116.8888889
Line596,120.7222222
Line597,192
Line598,151.25
Line599,192.8222222
Line600,140.0666667
Line601,225.7916667
Line602,189.1
Line603,141.7166667
Line604,177.1083333
Line605,161.8416667
Line606,116.0083333
Line607,182.5166667
Line608,161.3333334
Line609,163.0916667
Line610,247.1833334
Line611,184.1916667
Line612,213.4666666
Line613,205.4416667
Line614,147.5
Line615,155.0666667
Line616,165.625
Line617,211.7916667
Line618,242.0583333
Line619,213.7916667
Line620,162.3333333
Line621,209.2083333
Line622,168.9916667
Line623,166.4583334
Line624,168.0666667
Line625,120.9833333
Line626,237.6416667
Line627,246.9833333
Line628,220.475
Line629,150.0166667
Line630,178.8333333
Line631,140.4333334
Line632,160.7166667
Line633,272.7416667
Line634,144.3
Line635,151.825
Line636,157.8333333
Line637,172.1916667
Line638,132.15
Line639,168.9333333
Line640,167.975
Line641,192.425
Line642,152.1416667
Line643,163.5666667
Line644,163.4
Line645,174.7833333
Line646,189.1
Line647,107.8666667
Line648,191.3083334
Line649,194.1666667
Line650,174.3
Line651,100.025
Line652,163.125
Line653,188.0833333
Line654,119.8666667
Line655,97.94166666
Line656,192.1666667
Line657,143.4833333
Line658,139.5833334
Line659,205.825
Line660,199.6166667
Line661,152.7083333
Line662,175.7083333
Line663,141.7833334
Line664,164.5583333
Line665,158.35
Line666,222.7666667
Line667,230.125
Line668,168.9666666
Line669,113.25
Line670,150.475
Line671,139.8916667
Line672,161.4666667
Line673,208.2
Line674,142.3416666
Line675,168.5166667
Line676,161.5166667
Line677,164.3333334
Line678,170.9833333
Line679,151.3083333
Line680,206.85
